Style_family,Style,Style_family_code,Style_code,Original_gravity_min,Original_gravity_max,Final_gravity_min,Final_gravity_max,Alcohol_by_volume_min,Alcohol_by_volume_max,International_bitterness_units_min,International_bitterness_units_max,Bitterness_ratio_min,Bitterness_ratio_max,Standard_reference_method_min,Standard_reference_method_max,Volumes_of_CO2_min,Volumes_of_CO2_max,Apparent_attenuation_min,Apparent_attenuation_max
Porter,Baltic-Style Porter,9,902,1.072,1.092,1.016,1.022,7.6,9.3,35,40,0.47,0.49,40,,2,2.5,76,78
Porter,English-Style Brown Porter,9,903,1.04,1.05,1.006,1.014,4.4,6,20,30,0.5,0.6,30,35,1.5,2,72,85
Porter,Robust Porter,9,904,1.045,1.06,1.008,1.016,5.1,6.6,25,40,0.56,0.67,30,,2,2.5,73,82
Porter,Smoke Porter,9,905,1.05,1.065,1.01,1.018,5.1,8.9,20,40,0.4,0.62,20,,,,72,80
Stouts,American Imperial Stout,10,1001,1.08,1.1,1.02,1.03,7,12,50,80,0.62,0.8,40,,2,2.5,70,75
Stouts,American Stout,10,1002,1.05,1.075,1.01,1.022,5.7,8.9,35,60,0.7,0.8,40,,2.5,3,71,80
Stouts,English-Style Oatmeal Stout,10,1003,1.038,1.056,1.008,1.02,3.8,6.1,20,40,0.53,0.71,20,,2,2.5,64,79
Stouts,English-Style Sweet Stout (Milk Stout),10,1004,1.045,1.056,1.012,1.02,3.2,6.3,15,25,0.33,0.45,40,,1.5,2,64,73
Stouts,Irish-Style Dry Stout,10,1005,1.038,1.048,1.008,1.012,4.2,5.3,30,40,0.79,0.83,40,,1,1.5,75,79
Bocks,German-Style Bock,11,1101,1.066,1.074,1.018,1.024,6.3,7.6,20,30,0.3,0.41,20,30,2.5,,68,73
Bocks,German-Style Doppelbock,11,1102,1.074,1.08,1.014,1.02,6.6,7.9,17,27,0.23,0.34,12,30,2.5,,75,81
Bocks,German-Style Maibock,11,1103,1.066,1.074,1.012,1.02,6.3,8.1,20,38,0.3,0.51,4,9,2.5,,73,82
Bocks,German-Style Weizenbock,11,1104,1.066,1.08,1.016,1.028,7,9.5,15,35,0.23,0.44,4.5,30,2.5,3,65,76
Scottish-Style Ales,Scotch Ale/Wee Heavy,12,1201,1.072,1.085,1.016,1.028,6.6,8.5,25,35,0.35,0.41,15,30,2,2.5,67,78
Scottish-Style Ales,Scottish-Style Ale,12,1202,1.03,1.05,1.006,1.018,2.8,5.3,9,25,0.3,0.5,6,15,1.5,2,64,80
